Last login: Sun Aug  5 00:47:17 on ttys000
Quinns-MacBook-Air:~ DrQ$ cd ~/Documents/sports
Quinns-MacBook-Air:sports DrQ$ python fb_play_scraper.py
JackTa00 2010 passer 7
JackTa00 2010 passer 9
JackTa00 2010 passer 10
JackTa00 2010 passer 11
JackTa00 2010 passer 12
JackTa00 2010 passer 15
JackTa00 2010 passer 16
JackTa00 2010 passer 17
JackTa00 2010 passer 18
JackTa00 2010 passer 19
JackTa00 2010 passer 20
JackTa00 2010 passer 21
BatcCh00 2010 passer 1
BatcCh00 2010 passer 5
BatcCh00 2010 passer 6
BatcCh00 2010 passer 7
BatcCh00 2010 passer 8
BatcCh00 2010 passer 9
BatcCh00 2010 passer 10
BatcCh00 2010 passer 11
BatcCh00 2010 passer 12
BatcCh00 2010 passer 13
BatcCh00 2010 passer 14
BatcCh00 2010 passer 15
BatcCh00 2010 passer 16
BatcCh00 2010 passer 17
BatcCh00 2010 passer 18
BatcCh00 2010 passer 19
BatcCh00 2010 passer 20
BatcCh00 2010 passer 21
McGeSt00 2010 passer 1
McGeSt00 2010 passer 2
McGeSt00 2010 passer 3
McGeSt00 2010 passer 4
McGeSt00 2010 passer 5
McGeSt00 2010 passer 6
McGeSt00 2010 passer 7
McGeSt00 2010 passer 8
McGeSt00 2010 passer 9
McGeSt00 2010 passer 10
McGeSt00 2010 passer 11
McGeSt00 2010 passer 12
McGeSt00 2010 passer 13
McGeSt00 2010 passer 14
McGeSt00 2010 passer 15
McGeSt00 2010 passer 18
McGeSt00 2010 passer 19
McGeSt00 2010 passer 20
McGeSt00 2010 passer 21
SmitRu01 2010 passer 1
SmitRu01 2010 passer 2
SmitRu01 2010 passer 3
SmitRu01 2010 passer 4
SmitRu01 2010 passer 5
SmitRu01 2010 passer 6
SmitRu01 2010 passer 7
SmitRu01 2010 passer 8
SmitRu01 2010 passer 9
SmitRu01 2010 passer 10
SmitRu01 2010 passer 13
SmitRu01 2010 passer 14
SmitRu01 2010 passer 15
SmitRu01 2010 passer 16
SmitRu01 2010 passer 17
SmitRu01 2010 passer 18
SmitRu01 2010 passer 19
SmitRu01 2010 passer 20
SmitRu01 2010 passer 21
BoumTo00 2010 passer 1
BoumTo00 2010 passer 2
BoumTo00 2010 passer 3
BoumTo00 2010 passer 4
BoumTo00 2010 passer 5
BoumTo00 2010 passer 6
BoumTo00 2010 passer 8
BoumTo00 2010 passer 9
BoumTo00 2010 passer 10
BoumTo00 2010 passer 11
BoumTo00 2010 passer 12
BoumTo00 2010 passer 13
BoumTo00 2010 passer 14
BoumTo00 2010 passer 15
BoumTo00 2010 passer 16
BoumTo00 2010 passer 17
BoumTo00 2010 passer 18
BoumTo00 2010 passer 19
BoumTo00 2010 passer 20
BoumTo00 2010 passer 21
DixoDe00 2010 passer 3
DixoDe00 2010 passer 4
DixoDe00 2010 passer 5
DixoDe00 2010 passer 6
DixoDe00 2010 passer 7
DixoDe00 2010 passer 8
DixoDe00 2010 passer 9
DixoDe00 2010 passer 10
DixoDe00 2010 passer 11
DixoDe00 2010 passer 12
DixoDe00 2010 passer 13
DixoDe00 2010 passer 14
DixoDe00 2010 passer 15
DixoDe00 2010 passer 16
DixoDe00 2010 passer 17
DixoDe00 2010 passer 18
DixoDe00 2010 passer 19
DixoDe00 2010 passer 20
DixoDe00 2010 passer 21
BartRi00 2010 passer 1
BartRi00 2010 passer 2
BartRi00 2010 passer 3
BartRi00 2010 passer 4
BartRi00 2010 passer 5
BartRi00 2010 passer 6
BartRi00 2010 passer 7
BartRi00 2010 passer 8
BartRi00 2010 passer 9
BartRi00 2010 passer 10
BartRi00 2010 passer 11
BartRi00 2010 passer 12
BartRi00 2010 passer 13
BartRi00 2010 passer 14
BartRi00 2010 passer 15
BartRi00 2010 passer 16
BartRi00 2010 passer 18
BartRi00 2010 passer 19
BartRi00 2010 passer 20
BartRi00 2010 passer 21
St.PBr20 2010 passer 1
St.PBr20 2010 passer 2
St.PBr20 2010 passer 3
St.PBr20 2010 passer 4
St.PBr20 2010 passer 5
St.PBr20 2010 passer 6
St.PBr20 2010 passer 7
St.PBr20 2010 passer 8
St.PBr20 2010 passer 9
St.PBr20 2010 passer 10
St.PBr20 2010 passer 11
St.PBr20 2010 passer 12
St.PBr20 2010 passer 13
St.PBr20 2010 passer 14
St.PBr20 2010 passer 15
St.PBr20 2010 passer 16
St.PBr20 2010 passer 17
St.PBr20 2010 passer 18
St.PBr20 2010 passer 19
St.PBr20 2010 passer 20
St.PBr20 2010 passer 21
Traceback (most recent call last):
  File "fb_play_scraper.py", line 561, in <module>
    passer_stats = update_playlog(passer_stats, year)
  File "fb_play_scraper.py", line 480, in update_playlog
    play_db.columns = ['date','team_id','opponent_team_id','quarter','time','down','to_go','location','score','description','yards','epb','epa','diff','week','player_id','incomplete','complete','touchdown','interception','pick_six','sack','spike','penalty','declined','fumble','short','deep','left','right','middle','no_play']
  File "/Applications/anaconda/lib/python3.6/site-packages/pandas/core/generic.py", line 2983, in __setattr__
    return object.__setattr__(self, name, value)
  File "pandas/_libs/src/properties.pyx", line 65, in pandas._libs.lib.AxisProperty.__set__ (pandas/_libs/lib.c:45103)
  File "/Applications/anaconda/lib/python3.6/site-packages/pandas/core/generic.py", line 471, in _set_axis
    self._data.set_axis(axis, labels)
  File "/Applications/anaconda/lib/python3.6/site-packages/pandas/core/internals.py", line 2836, in set_axis
    (old_len, new_len))
ValueError: Length mismatch: Expected axis has 17 elements, new values have 32 elements
Quinns-MacBook-Air:sports DrQ$ python fb_play_scraper.py
Year 2011 started at:
--- 0.00024390220642089844 seconds ---
StafMa00 2011 passer 9
StafMa00 2011 passer 19
StafMa00 2011 passer 20
StafMa00 2011 passer 21
BreeDr00 2011 passer 11
BreeDr00 2011 passer 20
BreeDr00 2011 passer 21
BradTo00 2011 passer 7
BradTo00 2011 passer 18
MannEl00 2011 passer 7
RivePh00 2011 passer 6
RivePh00 2011 passer 18
RivePh00 2011 passer 19
RivePh00 2011 passer 20
RivePh00 2011 passer 21
FitzRy00 2011 passer 7
FitzRy00 2011 passer 18
FitzRy00 2011 passer 19
FitzRy00 2011 passer 20
FitzRy00 2011 passer 21
RyanMa00 2011 passer 8
RyanMa00 2011 passer 19
RyanMa00 2011 passer 20
RyanMa00 2011 passer 21
FreeJo00 2011 passer 8
FreeJo00 2011 passer 13
FreeJo00 2011 passer 18
FreeJo00 2011 passer 19
FreeJo00 2011 passer 20
